id	title	rank	probability
3471	2D-Grafiker	1268	0,082
3471	3D-designer	1268	0,082
3471	3D-grafiker	1268	0,082
3471	3D-visualiserare	1268	0,082
3131	A-fotograf	512	0,021
3443	A-kassehandläggare	3706	0,7
7123	A-ljudtekniker	7685	0,98
5227	Abonnemangsförsäljare	8403	0,99
5227	Abonnemangskontorist	6646	0,96
3115	Abonnentingenjör, vatten och avlopp	4095	0,81
5227	Abonnentman	6646	0,96
3415	Account manager	2245	0,25
2419	Accounting controller	8403	0,99
3473	Ackompanjatör, klassisk musik	1158	0,074
3473	Ackompanjatör, populärmusik	1158	0,074
4120	Ackordsuträknare	6995	0,97
8282	Ackumulatorarbetare	7685	0,98
9320	Ackumulatorskötare	5637	0,93
3429	Ackvisitör, annonser	5982	0,94
3476	Ackvisitör, rekvisitör	3331	0,61
3471	AD (Art Director)	1268	0,082
3471	AD-assistent	3331	0,61
2460	Adjunkt, evangelisk-luthersk	601	0,025
2330	Adjunkt, grundskola	1932	0,17
2323	Adjunkt, gymnasieskola	193	0,0078
2310	Adjunkt, högskola/universitet	746	0,032
2460	Adjunkt, Svenska kyrkan	601	0,025
5133	ADL-assistent	3887	0,74
4190	Administrativ assistent	4610	0,86
1239	Administrativ chef, funktions- eller mellanchef	3938	0,75
3431	Administrativ chef, verksamhetsnära chef 	3938	0,75
2419	Administrativ konsult	1472	0,13
2419	Administrativ rationaliserare	1472	0,13
2419	Administrativ utvecklare	1472	0,13
4190	Administratör, administrativ assistent	4610	0,86
4190	Administratör, allmänkontorist	7685	0,98
2480	Administratör, handläggare/utredare, intresseorganisation	2110	0,23
2480	Administratör, handläggare/utredare, offentlig förvaltning	2110	0,23
4131	Administratör, lager	7685	0,98
4120	Administratör, löner	6995	0,97
2412	Administratör, personalvetare	6995	0,97
4190	Adresserare	7685	0,98
4190	Adresskontorist	7685	0,98
8125	Aducerare	5361	0,91
2421	Advokat	775	0,035
2429	Advokatfiskal	1033	0,06
4112	Advokatsekreterare	7685	0,98
3475	Aerobicsinstruktör	1472	0,13
3229	Afasipedagog	125	0,0064
9150	Affischbärare	1093	0,064
9150	Affischklistrare	1093	0,064
3471	Affischtecknare	1268	0,082
9150	Affischuppsättare	1093	0,064
9150	Affischör	1093	0,064
5221	Affärsbiträde, dagligvaror	7685	0,98
5226	Affärsbiträde, fackhandel	7685	0,98
5224	Affärsbiträde, spelbutik	5982	0,94
5227	Affärsbiträde, videobutik	7685	0,98
3471	Affärsdekoratör	3012	0,48
5227	Affärsföreståndare (dagligvaror), färre än 5 anställda	2648	0,28
5227	Affärsföreståndare (fackhandel), färre än 5 anställda	2648	0,28
5227	Affärsföreståndare, 5-9 anställda	2648	0,28
5227	Affärsföreståndare, stort eller medelstort företag	1731	0,16
5227	Affärsidkare	1731	0,16
5227	Affärsinnehavare (dagligvaror), säljande	1731	0,16
5227	Affärsinnehavare (fackhandel), säljande	1731	0,16
5227	Affärsinnehavare, 5-9 anställda, säljande	1731	0,16
3415	Affärsinnehavare, administrativ, verksamhetsnära chef	1731	0,16
2423	Affärsjurist	1033	0,06
5224	Affärskassör	6995	0,97
5224	Affärskassörska	6995	0,97
3429	Affärskonsulent, butik	5982	0,94
1233	Affärsområdeschef, försäljnings- och marknadsansvar, funktions- eller mellanchef	292	0,014
3415	Affärsområdeschef, försäljnings- och marknadsansvar, verksamhetsnära chef	292	0,014
1210	Affärsområdeschef, lednings- och utvecklingsansvar	1731	0,16
4224	Affärsresekonsulent	3331	0,61
4224	Affärsresekonsult	3331	0,61
4224	Affärsresesäljare	3331	0,61
2419	Affärsutvecklare	1472	0,13
1239	Affärsutvecklingschef, funktions- eller mellanchef	457	0,018
3431	Affärsutvecklingschef, verksamhetsnära chef	457	0,018
3415	Agent, detaljhandel	2245	0,25
3429	Agent, partihandel	8403	0,99
3211	Agronom	512	0,021
8281	Airbagmontör	4231	0,82
8269	Airbagtillverkare, operatör	2879	0,39
2423	Akademiombudsman	1033	0,06
2480	Akademisekreterare	2110	0,23
3474	Akrobat	1158	0,074
2419	Aktieanalytiker	7685	0,98
3411	Aktieförvaltare	3257	0,58
3411	Aktiehandlare	1251	0,075
3411	Aktiemäklare	1251	0,075
5113	Aktivitetsguide	5361	0,91
3462	Aktivitetsledare, fritidsaktivitet	1472	0,13
5113	Aktivitetsledare, guide	5361	0,91
5134	Aktivitetsledare, psykvård, missbruk m.m.	2962	0,47
2121	Aktuarie, försäkringsbolag	2110	0,23
3229	Akupressör	3166	0,54
3229	Akupunktör	144	0,0071
2142	Akustiker	488	0,019
2142	Akustisk designer	488	0,019
2233	Akutsjuksköterska	838	0,038
6151	Akvariefiskuppfödare	6270	0,95
6151	Akvarietekniker	6270	0,95
3461	Alkohol- och drogrådgivare	1472	0,13
3461	Alkohol- och drogterapeut	1472	0,13
3461	Alkohol- och drogutredare	1472	0,13
3449	Alkoholhandläggare	2954	0,46
3461	Alkoholrådgivare	1472	0,13
3461	Alkoholterapeut	1472	0,13
3239	Allergisjuksköterska	838	0,038
2221	Allergolog	13	0,0042
2421	Allmän åklagare	775	0,035
4190	Allmänkontorist	7685	0,98
2451	Allmänreporter	1420	0,11
2310	Amanuens, högskola/universitet	746	0,032
2431	Amanuens, museum	3991	0,76
3431	Ambassadråd	2245	0,25
2480	Ambassadsekreterare	2110	0,23
5152	Ambassadväktare	6270	0,95
1110	Ambassadör	1731	0,16
5151	Ambulansförare, brandman	1932	0,17
5132	Ambulansförare, sjukvårdare	1017	0,049
5132	Ambulansföreståndare	1017	0,049
5132	Ambulansman	1017	0,049
2233	Ambulanssjuksköterska	838	0,038
5132	Ambulanssjukvårdare	1017	0,049
8229	Ammoniakkokare	5183	0,9
8229	Ammunitionsarbetare	5183	0,9
110	Ammunitionsröjare	3765	0,72
2113	Analytisk kemist	1376	0,1
3134	Anaplastolog	6995	0,97
3112	Anbudsingenjör	6646	0,96
3429	Anbudsläggare	5982	0,94
2221	Anestesiläkare	13	0,0042
2221	Anestesiolog	13	0,0042
2233	Anestesisjuksköterska	838	0,038
7422	Anfångare	6995	0,97
3461	Anhörigkonsulent	1472	0,13
5139	Anhörigstödjare	3887	0,74
3461	Anhörigterapeut	1472	0,13
5139	Anhörigvårdare	3887	0,74
3471	Animatör	1268	0,082
3471	Animerare	1268	0,082
7124	Anläggare, markarbeten, VA m.m.	3449	0,62
8332	Anläggare, maskinförare	6270	0,95
6113	Anläggare, trädgård	4803	0,87
7124	Anläggningsarbetare, markarbeten, VA m.m.	3449	0,62
8332	Anläggningsarbetare, maskinförare	6270	0,95
6113	Anläggningsarbetare, trädgård	4803	0,87
7216	Anläggningsdykare	2010	0,18
2142	Anläggningsingenjör (bygg), civilingenjör	488	0,019
3112	Anläggningsingenjör (bygg), högskoleingenjör	6646	0,96
3114	Anläggningsingenjör, elkraft	4357	0,84
8332	Anläggningsmaskinförare	6270	0,95
2142	Anläggningsplanerare	488	0,019
8125	Anlöpare	5361	0,91
3429	Annonsansvarig	5982	0,94
4190	Annonsassistent	7685	0,98
3429	Annonsberedare	5982	0,94
3429	Annonschef	5982	0,94
7342	Annonsgrafiker	6995	0,97
3429	Annonskonsulent	5982	0,94
4190	Annonskontrollant	7685	0,98
4190	Annonsmottagare	7685	0,98
2451	Annonsproducent	2010	0,18
4190	Annonssekreterare	7685	0,98
3415	Annonssäljare	2245	0,25
7342	Annonssättare	6995	0,97
3471	Annonstecknare	1268	0,082
8223	Anodiserare	5570	0,92
8223	Anodiseringsoperatör	5570	0,92
5149	Anonym konsument	1093	0,064
2351	Anpassningslärare	389	0,016
8111	Anrikningsarbetare, malm	6995	0,97
3134	Ansiktsprotetiker	6995	0,97
3229	Ansiktszonterapeut	3166	0,54
3119	Anstaltsingenjör	5183	0,9
3461	Anstaltspedagog	1472	0,13
1227	Antagningschef, utbildning, funktions- eller mellanchef	241	0,01
2480	Antagningshandläggare	2110	0,23
2480	Antagningssekreterare, utbildning	2110	0,23
7243	Antennmontör, telekommunikation	3064	0,49
7243	Antenntekniker	3064	0,49
5226	Antikvariatsbiträde	7685	0,98
2431	Antikvarie	3991	0,76
5227	Antikvitetshandlare	1731	0,16
2443	Antropolog	2245	0,25
2131	Användbarhetsdesigner	3012	0,48
2131	Användbarhetsexpert	3012	0,48
2224	Apotekare	267	0,012
5139	Apoteksassistent	4610	0,86
5139	Apoteksbiträde	4610	0,86
3415	Apotekschef,  verksamhetsnära chef	1731	0,16
3415	Apotekschef, funktions- eller mellanchef	1731	0,16
3415	Apotekschef, läkemedelsansvarig, funktions- eller mellanchef	1731	0,16
3415	Apotekschef, läkemedelsansvarig, verksamhetsnära chef	1731	0,16
3415	Apoteksdirektör, funktions- eller mellanchef	1731	0,16
3415	Apoteksdirektör, verksamhetsnära chef	1731	0,16
3415	Apoteksområdeschef, funktions- eller mellanchef	1731	0,16
3415	Apoteksområdeschef, verksamhetsnära chef	1731	0,16
5139	Apotekstekniker	4610	0,86
